season,matchday,team,Pts,Sum,GD
2018-2019,36,Dep. La Coruña,54.0,-3.0,14.0
2018-2019,36,Real Oviedo,53.0,0.0,2.0
2018-2019,36,Sporting Gijón,53.0,3.0,8.0
2018-2019,36,UD Almería,52.0,1.0,11.0
2018-2019,36,Alcorcón,47.0,-2.0,-2.0
2018-2019,36,Elche CF,46.0,2.0,-2.0
2018-2019,36,UD Las Palmas,43.0,-3.0,-4.0
2018-2019,36,Real Zaragoza,41.0,0.0,-6.0
2018-2019,36,Extremadura,39.0,3.0,-5.0
2018-2019,36,R. Majadahonda,40.0,0.0,-12.0
2018-2019,36,CD Numancia,40.0,-2.0,-7.0
2018-2019,36,CD Tenerife,40.0,0.0,-8.0
2018-2019,36,CD Lugo,37.0,-1.0,-8.0
2018-2019,36,Gimnàstic,28.0,-2.0,-31.0
2018-2019,36,Córdoba CF,27.0,-1.0,-26.0
2018-2019,36,Reus Deportiu,21.0,-5.0,-25.0
2018-2019,35,CA Osasuna,67.0,2.0,16.0
2018-2019,35,Albacete,61.0,3.0,18.0
2018-2019,35,Granada CF,61.0,-1.0,18.0
2018-2019,35,Cádiz CF,56.0,2.0,18.0
2018-2019,35,RCD Mallorca,55.0,2.0,13.0
2018-2019,35,Málaga CF,55.0,-1.0,8.0
2018-2019,35,Dep. La Coruña,54.0,-1.0,15.0
2018-2019,35,Real Oviedo,52.0,1.0,2.0
2018-2019,35,Sporting Gijón,52.0,4.0,8.0
2018-2019,35,UD Almería,49.0,0.0,9.0
2018-2019,35,Alcorcón,47.0,-1.0,1.0
2018-2019,35,Elche CF,46.0,2.0,-1.0
2018-2019,35,UD Las Palmas,43.0,-3.0,-2.0
2018-2019,35,Real Zaragoza,38.0,0.0,-7.0
2018-2019,35,CD Tenerife,40.0,1.0,-6.0
2018-2019,35,R. Majadahonda,40.0,0.0,-10.0
2018-2019,35,CD Numancia,40.0,-1.0,-6.0
2018-2019,35,Extremadura,36.0,1.0,-6.0
2018-2019,35,CD Lugo,37.0,0.0,-7.0
2018-2019,35,Gimnàstic,27.0,-3.0,-31.0
2018-2019,35,Córdoba CF,26.0,-2.0,-26.0
2018-2019,35,Reus Deportiu,21.0,-5.0,-24.0
2018-2019,34,CA Osasuna,64.0,2.0,15.0
2018-2019,34,Albacete,60.0,2.0,18.0
2018-2019,34,Granada CF,61.0,1.0,19.0
2018-2019,34,Cádiz CF,53.0,0.0,15.0
2018-2019,34,Málaga CF,55.0,-1.0,9.0
2018-2019,34,RCD Mallorca,54.0,3.0,13.0
2018-2019,34,Dep. La Coruña,54.0,-1.0,16.0
2018-2019,34,Sporting Gijón,49.0,4.0,7.0
2018-2019,34,Real Oviedo,49.0,-1.0,1.0
2018-2019,34,UD Almería,46.0,-2.0,6.0
2018-2019,34,Alcorcón,44.0,-3.0,-1.0
2018-2019,34,Elche CF,45.0,3.0,-1.0
2018-2019,34,UD Las Palmas,43.0,-1.0,1.0
2018-2019,34,R. Majadahonda,40.0,2.0,-8.0
2018-2019,34,CD Numancia,39.0,-1.0,-6.0
2018-2019,34,CD Tenerife,37.0,0.0,-8.0
2018-2019,34,Real Zaragoza,38.0,0.0,-5.0
2018-2019,34,CD Lugo,34.0,0.0,-11.0
2018-2019,34,Extremadura,33.0,1.0,-7.0
2018-2019,34,Gimnàstic,27.0,-1.0,-28.0
2018-2019,34,Córdoba CF,26.0,-2.0,-22.0
2018-2019,34,Reus Deportiu,21.0,-5.0,-23.0
2018-2019,33,CA Osasuna,63.0,3.0,15.0
2018-2019,33,Granada CF,58.0,1.0,18.0
2018-2019,33,Albacete,57.0,0.0,17.0
2018-2019,33,Málaga CF,55.0,0.0,10.0
2018-2019,33,Dep. La Coruña,54.0,0.0,18.0
2018-2019,33,RCD Mallorca,51.0,2.0,12.0
2018-2019,33,Cádiz CF,52.0,1.0,15.0
2018-2019,33,Real Oviedo,48.0,-1.0,1.0
2018-2019,33,Sporting Gijón,46.0,4.0,6.0
2018-2019,33,UD Almería,46.0,0.0,7.0
2018-2019,33,Elche CF,42.0,2.0,-2.0
2018-2019,33,Alcorcón,44.0,-2.0,0.0
2018-2019,33,UD Las Palmas,42.0,-1.0,1.0
2018-2019,33,R. Majadahonda,37.0,0.0,-10.0
2018-2019,33,CD Numancia,39.0,-1.0,-4.0
2018-2019,33,Real Zaragoza,37.0,-1.0,-5.0
2018-2019,33,CD Tenerife,37.0,2.0,-7.0
2018-2019,33,CD Lugo,33.0,0.0,-11.0
2018-2019,33,Extremadura,30.0,0.0,-8.0
2018-2019,33,Gimnàstic,24.0,-3.0,-30.0
2018-2019,33,Córdoba CF,26.0,-1.0,-21.0
2018-2019,33,Reus Deportiu,21.0,-5.0,-22.0
2018-2019,32,CA Osasuna,60.0,3.0,14.0
2018-2019,32,Granada CF,58.0,3.0,19.0
2018-2019,32,Albacete,56.0,0.0,17.0
2018-2019,32,Málaga CF,54.0,0.0,10.0
2018-2019,32,Dep. La Coruña,53.0,0.0,18.0
2018-2019,32,Cádiz CF,49.0,1.0,14.0
2018-2019,32,RCD Mallorca,51.0,3.0,13.0
2018-2019,32,Real Oviedo,47.0,-1.0,1.0
2018-2019,32,UD Almería,45.0,1.0,7.0
2018-2019,32,Sporting Gijón,45.0,3.0,6.0
2018-2019,32,Alcorcón,43.0,-1.0,0.0
2018-2019,32,UD Las Palmas,42.0,-1.0,2.0
2018-2019,32,Elche CF,39.0,1.0,-3.0
2018-2019,32,CD Numancia,36.0,-1.0,-5.0
2018-2019,32,Real Zaragoza,34.0,-3.0,-8.0
2018-2019,32,R. Majadahonda,36.0,1.0,-10.0
2018-2019,32,CD Tenerife,36.0,2.0,-7.0
2018-2019,32,CD Lugo,32.0,0.0,-11.0
2018-2019,32,Extremadura,30.0,0.0,-7.0
2018-2019,32,Córdoba CF,23.0,-3.0,-22.0
2018-2019,32,Gimnàstic,24.0,-3.0,-27.0
2018-2019,32,Reus Deportiu,21.0,-5.0,-21.0
2018-2019,31,CA Osasuna,60.0,4.0,15.0
2018-2019,31,Granada CF,57.0,4.0,19.0
2018-2019,31,Albacete,53.0,-1.0,14.0
2018-2019,31,Málaga CF,51.0,0.0,9.0
2018-2019,31,Dep. La Coruña,52.0,0.0,18.0
2018-2019,31,RCD Mallorca,48.0,3.0,10.0
2018-2019,31,Cádiz CF,48.0,2.0,14.0
2018-2019,31,Real Oviedo,47.0,1.0,2.0
2018-2019,31,Sporting Gijón,42.0,1.0,5.0
2018-2019,31,UD Almería,44.0,2.0,7.0
2018-2019,31,Alcorcón,43.0,-1.0,2.0
2018-2019,31,UD Las Palmas,41.0,0.0,2.0
2018-2019,31,Elche CF,36.0,1.0,-5.0
2018-2019,31,CD Tenerife,33.0,0.0,-8.0
2018-2019,31,R. Majadahonda,33.0,-1.0,-14.0
2018-2019,31,CD Numancia,36.0,0.0,-1.0
2018-2019,31,Real Zaragoza,34.0,-2.0,-5.0
2018-2019,31,CD Lugo,32.0,0.0,-8.0
2018-2019,31,Extremadura,27.0,-2.0,-8.0
2018-2019,31,Gimnàstic,24.0,-2.0,-26.0
2018-2019,31,Córdoba CF,22.0,-4.0,-22.0
2018-2019,31,Reus Deportiu,21.0,-5.0,-20.0
2018-2019,30,CA Osasuna,57.0,4.0,12.0
2018-2019,30,Granada CF,56.0,3.0,19.0
2018-2019,30,Albacete,50.0,-1.0,13.0
2018-2019,30,Dep. La Coruña,49.0,0.0,17.0
2018-2019,30,Málaga CF,50.0,0.0,9.0
2018-2019,30,Cádiz CF,47.0,3.0,14.0
2018-2019,30,RCD Mallorca,45.0,1.0,9.0
2018-2019,30,Real Oviedo,44.0,1.0,0.0
2018-2019,30,UD Almería,43.0,3.0,7.0
2018-2019,30,Alcorcón,42.0,-2.0,2.0
2018-2019,30,Sporting Gijón,39.0,-1.0,4.0
2018-2019,30,UD Las Palmas,41.0,1.0,3.0
2018-2019,30,CD Numancia,35.0,-1.0,-1.0
2018-2019,30,Elche CF,36.0,1.0,-4.0
2018-2019,30,Real Zaragoza,31.0,-2.0,-6.0
2018-2019,30,CD Tenerife,32.0,-1.0,-8.0
2018-2019,30,R. Majadahonda,33.0,0.0,-11.0
2018-2019,30,CD Lugo,31.0,-1.0,-8.0
2018-2019,30,Extremadura,27.0,-1.0,-7.0
2018-2019,30,Gimnàstic,24.0,0.0,-24.0
2018-2019,30,Córdoba CF,22.0,-2.0,-21.0
2018-2019,30,Reus Deportiu,21.0,-5.0,-19.0
2018-2019,29,CA Osasuna,54.0,4.0,11.0
2018-2019,29,Granada CF,53.0,1.0,18.0
2018-2019,29,Málaga CF,50.0,1.0,10.0
2018-2019,29,Albacete,50.0,1.0,14.0
2018-2019,29,Dep. La Coruña,49.0,1.0,18.0
2018-2019,29,Cádiz CF,47.0,3.0,15.0
2018-2019,29,RCD Mallorca,42.0,1.0,8.0
2018-2019,29,Real Oviedo,44.0,3.0,1.0
2018-2019,29,UD Almería,43.0,4.0,8.0
2018-2019,29,Alcorcón,42.0,-2.0,4.0
2018-2019,29,UD Las Palmas,38.0,0.0,2.0
2018-2019,29,Sporting Gijón,36.0,-1.0,3.0
2018-2019,29,Elche CF,33.0,1.0,-5.0
2018-2019,29,CD Numancia,34.0,0.0,-1.0
2018-2019,29,R. Majadahonda,30.0,0.0,-13.0
2018-2019,29,CD Tenerife,31.0,-1.0,-8.0
2018-2019,29,CD Lugo,28.0,-3.0,-9.0
2018-2019,29,Real Zaragoza,31.0,-1.0,-5.0
2018-2019,29,Extremadura,24.0,-3.0,-10.0
2018-2019,29,Gimnàstic,21.0,-2.0,-25.0
2018-2019,29,Córdoba CF,22.0,-2.0,-18.0
2018-2019,29,Reus Deportiu,21.0,-5.0,-18.0
2018-2019,28,CA Osasuna,51.0,4.0,10.0
2018-2019,28,Granada CF,50.0,0.0,15.0
2018-2019,28,Albacete,50.0,3.0,15.0
2018-2019,28,Málaga CF,49.0,1.0,10.0
2018-2019,28,Dep. La Coruña,48.0,2.0,18.0
2018-2019,28,Cádiz CF,44.0,2.0,14.0
2018-2019,28,Real Oviedo,43.0,2.0,1.0
2018-2019,28,UD Almería,40.0,2.0,7.0
2018-2019,28,RCD Mallorca,41.0,1.0,8.0
2018-2019,28,Alcorcón,41.0,-1.0,4.0
2018-2019,28,UD Las Palmas,37.0,0.0,2.0
2018-2019,28,Sporting Gijón,33.0,-3.0,2.0
2018-2019,28,CD Numancia,34.0,1.0,0.0
2018-2019,28,Elche CF,32.0,1.0,-5.0
2018-2019,28,Real Zaragoza,31.0,1.0,-4.0
2018-2019,28,CD Tenerife,28.0,-2.0,-9.0
2018-2019,28,R. Majadahonda,30.0,0.0,-10.0
2018-2019,28,CD Lugo,27.0,-2.0,-9.0
2018-2019,28,Extremadura,23.0,-3.0,-10.0
2018-2019,28,Córdoba CF,21.0,-3.0,-18.0
2018-2019,28,Reus Deportiu,21.0,-5.0,-17.0
2018-2019,28,Gimnàstic,21.0,-1.0,-24.0
2018-2019,27,CA Osasuna,48.0,4.0,9.0
2018-2019,27,Albacete,49.0,2.0,15.0
2018-2019,27,Granada CF,47.0,0.0,14.0
2018-2019,27,Málaga CF,48.0,2.0,10.0
2018-2019,27,Dep. La Coruña,47.0,3.0,18.0
2018-2019,27,Cádiz CF,41.0,1.0,13.0
2018-2019,27,Real Oviedo,42.0,3.0,1.0
2018-2019,27,Alcorcón,38.0,-3.0,2.0
2018-2019,27,RCD Mallorca,40.0,0.0,8.0
2018-2019,27,UD Almería,37.0,1.0,5.0
2018-2019,27,UD Las Palmas,37.0,2.0,4.0
2018-2019,27,CD Numancia,31.0,1.0,-1.0
2018-2019,27,Sporting Gijón,33.0,-1.0,3.0
2018-2019,27,Elche CF,31.0,0.0,-5.0
2018-2019,27,Real Zaragoza,31.0,2.0,-3.0
2018-2019,27,R. Majadahonda,27.0,-1.0,-11.0
2018-2019,27,CD Tenerife,27.0,-1.0,-9.0
2018-2019,27,CD Lugo,26.0,-3.0,-9.0
2018-2019,27,Extremadura,23.0,-3.0,-9.0
2018-2019,27,Gimnàstic,21.0,-1.0,-23.0
2018-2019,27,Córdoba CF,21.0,-3.0,-16.0
2018-2019,27,Reus Deportiu,21.0,-5.0,-16.0
2018-2019,26,Albacete,48.0,2.0,15.0
2018-2019,26,CA Osasuna,47.0,3.0,9.0
2018-2019,26,Málaga CF,45.0,2.0,9.0
2018-2019,26,Dep. La Coruña,46.0,2.0,18.0
2018-2019,26,Granada CF,44.0,-1.0,13.0
2018-2019,26,Real Oviedo,39.0,3.0,0.0
2018-2019,26,Cádiz CF,38.0,0.0,11.0
2018-2019,26,RCD Mallorca,37.0,0.0,5.0
2018-2019,26,Alcorcón,38.0,-2.0,3.0
2018-2019,26,UD Las Palmas,34.0,2.0,3.0
2018-2019,26,UD Almería,34.0,0.0,4.0
2018-2019,26,Sporting Gijón,33.0,0.0,4.0
2018-2019,26,Elche CF,28.0,0.0,-7.0
2018-2019,26,Real Zaragoza,30.0,1.0,-3.0
2018-2019,26,CD Numancia,30.0,1.0,-1.0
2018-2019,26,R. Majadahonda,27.0,0.0,-10.0
2018-2019,26,CD Tenerife,27.0,-1.0,-7.0
2018-2019,26,CD Lugo,26.0,-2.0,-6.0
2018-2019,26,Extremadura,23.0,-2.0,-7.0
2018-2019,26,Córdoba CF,21.0,-2.0,-15.0
2018-2019,26,Reus Deportiu,21.0,-4.0,-15.0
2018-2019,26,Gimnàstic,20.0,-2.0,-23.0
2018-2019,25,Albacete,45.0,1.0,13.0
2018-2019,25,CA Osasuna,44.0,3.0,7.0
2018-2019,25,Dep. La Coruña,43.0,1.0,17.0
2018-2019,25,Málaga CF,44.0,1.0,9.0
2018-2019,25,Granada CF,44.0,0.0,14.0
2018-2019,25,Real Oviedo,36.0,3.0,-1.0
2018-2019,25,Alcorcón,38.0,-2.0,4.0
2018-2019,25,Cádiz CF,35.0,-2.0,10.0
2018-2019,25,RCD Mallorca,37.0,0.0,7.0
2018-2019,25,UD Almería,31.0,0.0,3.0
2018-2019,25,UD Las Palmas,33.0,2.0,3.0
2018-2019,25,Sporting Gijón,33.0,0.0,6.0
2018-2019,25,Real Zaragoza,27.0,1.0,-4.0
2018-2019,25,CD Numancia,30.0,1.0,0.0
2018-2019,25,Elche CF,28.0,0.0,-6.0
2018-2019,25,CD Tenerife,27.0,1.0,-5.0
2018-2019,25,R. Majadahonda,26.0,0.0,-10.0
2018-2019,25,CD Lugo,26.0,-1.0,-5.0
2018-2019,25,Extremadura,22.0,-1.0,-7.0
2018-2019,25,Reus Deportiu,21.0,-2.0,-14.0
2018-2019,25,Córdoba CF,18.0,-4.0,-17.0
2018-2019,25,Gimnàstic,17.0,-2.0,-24.0
2018-2019,24,Albacete,42.0,1.0,11.0
2018-2019,24,Málaga CF,43.0,1.0,9.0
2018-2019,24,CA Osasuna,41.0,3.0,6.0
2018-2019,24,Granada CF,44.0,1.0,15.0
2018-2019,24,Dep. La Coruña,42.0,0.0,17.0
2018-2019,24,Alcorcón,38.0,-1.0,6.0
2018-2019,24,RCD Mallorca,34.0,0.0,5.0
2018-2019,24,Real Oviedo,33.0,2.0,-2.0
2018-2019,24,Cádiz CF,35.0,0.0,11.0
2018-2019,24,UD Las Palmas,32.0,1.0,3.0
2018-2019,24,Sporting Gijón,30.0,-1.0,3.0
2018-2019,24,UD Almería,30.0,0.0,3.0
2018-2019,24,CD Numancia,27.0,0.0,-3.0
2018-2019,24,Elche CF,25.0,-1.0,-7.0
2018-2019,24,CD Tenerife,26.0,1.0,-5.0
2018-2019,24,Real Zaragoza,26.0,2.0,-4.0
2018-2019,24,R. Majadahonda,23.0,-2.0,-11.0
2018-2019,24,CD Lugo,26.0,0.0,-2.0
2018-2019,24,Extremadura,22.0,-1.0,-4.0
2018-2019,24,Reus Deportiu,21.0,-2.0,-13.0
2018-2019,24,Córdoba CF,18.0,-2.0,-15.0
2018-2019,24,Gimnàstic,17.0,-2.0,-23.0
2018-2019,23,Granada CF,43.0,2.0,15.0
2018-2019,23,Málaga CF,42.0,2.0,9.0
2018-2019,23,Albacete,39.0,1.0,10.0
2018-2019,23,Dep. La Coruña,39.0,0.0,16.0
2018-2019,23,CA Osasuna,38.0,3.0,5.0
2018-2019,23,Alcorcón,35.0,-3.0,5.0
2018-2019,23,Cádiz CF,34.0,-1.0,11.0
2018-2019,23,RCD Mallorca,33.0,-1.0,5.0
2018-2019,23,Real Oviedo,33.0,2.0,0.0
2018-2019,23,UD Las Palmas,31.0,1.0,3.0
2018-2019,23,UD Almería,30.0,1.0,4.0
2018-2019,23,Sporting Gijón,30.0,1.0,4.0
2018-2019,23,CD Numancia,26.0,-1.0,-3.0
2018-2019,23,Real Zaragoza,23.0,0.0,-6.0
2018-2019,23,CD Lugo,23.0,-1.0,-3.0
2018-2019,23,CD Tenerife,25.0,1.0,-5.0
2018-2019,23,Elche CF,24.0,0.0,-7.0
2018-2019,23,R. Majadahonda,23.0,-2.0,-10.0
2018-2019,23,Extremadura,21.0,-2.0,-4.0
2018-2019,23,Reus Deportiu,21.0,-1.0,-12.0
2018-2019,23,Córdoba CF,18.0,-1.0,-14.0
2018-2019,23,Gimnàstic,16.0,-1.0,-23.0
2018-2019,22,Granada CF,40.0,2.0,14.0
2018-2019,22,Málaga CF,39.0,2.0,8.0
2018-2019,22,Dep. La Coruña,36.0,-1.0,14.0
2018-2019,22,Albacete,39.0,2.0,12.0
2018-2019,22,CA Osasuna,35.0,2.0,3.0
2018-2019,22,Alcorcón,35.0,-3.0,7.0
2018-2019,22,Cádiz CF,33.0,0.0,11.0
2018-2019,22,RCD Mallorca,33.0,-1.0,7.0
2018-2019,22,Real Oviedo,30.0,0.0,-2.0
2018-2019,22,UD Las Palmas,28.0,-1.0,2.0
2018-2019,22,UD Almería,29.0,2.0,4.0
2018-2019,22,Sporting Gijón,27.0,0.0,2.0
2018-2019,22,CD Numancia,23.0,-2.0,-4.0
2018-2019,22,CD Tenerife,22.0,0.0,-7.0
2018-2019,22,Elche CF,24.0,1.0,-6.0
2018-2019,22,R. Majadahonda,22.0,-3.0,-10.0
2018-2019,22,Real Zaragoza,22.0,0.0,-6.0
2018-2019,22,CD Lugo,23.0,1.0,-2.0
2018-2019,22,Reus Deportiu,21.0,1.0,-11.0
2018-2019,22,Extremadura,21.0,-1.0,-2.0
2018-2019,22,Córdoba CF,18.0,0.0,-13.0
2018-2019,22,Gimnàstic,16.0,-1.0,-21.0
2018-2019,21,Granada CF,39.0,3.0,14.0
2018-2019,21,Albacete,38.0,3.0,12.0
2018-2019,21,Málaga CF,36.0,0.0,6.0
2018-2019,21,Dep. La Coruña,36.0,0.0,15.0
2018-2019,21,Alcorcón,34.0,-4.0,7.0
2018-2019,21,CA Osasuna,35.0,4.0,6.0
2018-2019,21,Cádiz CF,32.0,1.0,11.0
2018-2019,21,RCD Mallorca,30.0,-1.0,6.0
2018-2019,21,Real Oviedo,27.0,-1.0,-3.0
2018-2019,21,UD Almería,28.0,2.0,4.0
2018-2019,21,UD Las Palmas,25.0,-2.0,-1.0
2018-2019,21,Sporting Gijón,26.0,1.0,2.0
2018-2019,21,Elche CF,21.0,0.0,-7.0
2018-2019,21,CD Lugo,22.0,0.0,-2.0
2018-2019,21,CD Numancia,22.0,-1.0,-4.0
2018-2019,21,Real Zaragoza,22.0,0.0,-4.0
2018-2019,21,CD Tenerife,22.0,0.0,-6.0
2018-2019,21,R. Majadahonda,21.0,-3.0,-10.0
2018-2019,21,Reus Deportiu,20.0,0.0,-11.0
2018-2019,21,Extremadura,20.0,-1.0,-2.0
2018-2019,21,Córdoba CF,17.0,0.0,-13.0
2018-2019,21,Gimnàstic,16.0,-1.0,-20.0
2018-2019,20,Granada CF,38.0,2.0,14.0
2018-2019,20,Albacete,37.0,4.0,12.0
2018-2019,20,Dep. La Coruña,35.0,1.0,15.0
2018-2019,20,Málaga CF,36.0,0.0,9.0
2018-2019,20,CA Osasuna,32.0,2.0,5.0
2018-2019,20,Alcorcón,34.0,-2.0,10.0
2018-2019,20,Cádiz CF,32.0,3.0,12.0
2018-2019,20,RCD Mallorca,30.0,1.0,8.0
2018-2019,20,UD Almería,25.0,1.0,2.0
2018-2019,20,Real Oviedo,24.0,-1.0,-4.0
2018-2019,20,Sporting Gijón,26.0,3.0,3.0
2018-2019,20,UD Las Palmas,24.0,-3.0,-1.0
2018-2019,20,CD Tenerife,19.0,0.0,-7.0
2018-2019,20,CD Numancia,22.0,-1.0,-3.0
2018-2019,20,Real Zaragoza,19.0,-2.0,-5.0
2018-2019,20,CD Lugo,21.0,1.0,-2.0
2018-2019,20,R. Majadahonda,20.0,-4.0,-10.0
2018-2019,20,Elche CF,21.0,0.0,-6.0
2018-2019,20,Extremadura,17.0,-1.0,-5.0
2018-2019,20,Reus Deportiu,17.0,-2.0,-14.0
2018-2019,20,Córdoba CF,17.0,0.0,-12.0
2018-2019,20,Gimnàstic,13.0,-2.0,-21.0
2018-2019,19,Granada CF,37.0,2.0,14.0
2018-2019,19,Albacete,34.0,4.0,11.0
2018-2019,19,Málaga CF,35.0,1.0,9.0
2018-2019,19,Dep. La Coruña,35.0,2.0,18.0
2018-2019,19,Alcorcón,33.0,-1.0,10.0
2018-2019,19,Cádiz CF,29.0,3.0,9.0
2018-2019,19,CA Osasuna,29.0,2.0,4.0
2018-2019,19,RCD Mallorca,27.0,0.0,6.0
2018-2019,19,Sporting Gijón,25.0,2.0,3.0
2018-2019,19,UD Almería,24.0,1.0,2.0
2018-2019,19,Real Oviedo,23.0,0.0,-4.0
2018-2019,19,UD Las Palmas,24.0,-2.0,2.0
2018-2019,19,CD Numancia,21.0,-2.0,-3.0
2018-2019,19,CD Lugo,20.0,0.0,-2.0
2018-2019,19,Elche CF,20.0,-1.0,-6.0
2018-2019,19,R. Majadahonda,20.0,-2.0,-9.0
2018-2019,19,CD Tenerife,18.0,-1.0,-7.0
2018-2019,19,Real Zaragoza,16.0,-3.0,-6.0
2018-2019,19,Córdoba CF,14.0,-2.0,-15.0
2018-2019,19,Reus Deportiu,17.0,-2.0,-13.0
2018-2019,19,Extremadura,17.0,1.0,-4.0
2018-2019,19,Gimnàstic,13.0,-2.0,-19.0
2018-2019,18,Granada CF,34.0,1.0,13.0
2018-2019,18,Málaga CF,32.0,0.0,8.0
2018-2019,18,Dep. La Coruña,32.0,2.0,16.0
2018-2019,18,Albacete,31.0,3.0,10.0
2018-2019,18,Alcorcón,33.0,1.0,11.0
2018-2019,18,CA Osasuna,26.0,2.0,3.0
2018-2019,18,Cádiz CF,29.0,5.0,10.0
2018-2019,18,RCD Mallorca,27.0,2.0,7.0
2018-2019,18,Sporting Gijón,22.0,1.0,2.0
2018-2019,18,UD Las Palmas,23.0,-2.0,2.0
2018-2019,18,UD Almería,23.0,0.0,2.0
2018-2019,18,Real Oviedo,23.0,0.0,-3.0
2018-2019,18,CD Numancia,21.0,-1.0,-2.0
2018-2019,18,R. Majadahonda,20.0,0.0,-7.0
2018-2019,18,Elche CF,17.0,-2.0,-8.0
2018-2019,18,CD Lugo,19.0,-1.0,-2.0
2018-2019,18,CD Tenerife,17.0,-1.0,-7.0
2018-2019,18,Reus Deportiu,16.0,-3.0,-13.0
2018-2019,18,Extremadura,17.0,1.0,-3.0
2018-2019,18,Real Zaragoza,16.0,-1.0,-4.0
2018-2019,18,Córdoba CF,13.0,-3.0,-15.0
2018-2019,18,Gimnàstic,10.0,-4.0,-20.0
2018-2019,17,Granada CF,31.0,1.0,12.0
2018-2019,17,Alcorcón,33.0,3.0,12.0
2018-2019,17,Dep. La Coruña,31.0,2.0,16.0
2018-2019,17,Málaga CF,29.0,-2.0,7.0
2018-2019,17,Albacete,30.0,4.0,10.0
2018-2019,17,Cádiz CF,26.0,5.0,9.0
2018-2019,17,RCD Mallorca,27.0,3.0,8.0
2018-2019,17,CA Osasuna,25.0,3.0,3.0
2018-2019,17,Real Oviedo,23.0,1.0,-2.0
2018-2019,17,UD Almería,20.0,0.0,1.0
2018-2019,17,UD Las Palmas,23.0,-1.0,4.0
2018-2019,17,Sporting Gijón,21.0,0.0,2.0
2018-2019,17,CD Numancia,20.0,0.0,-2.0
2018-2019,17,R. Majadahonda,20.0,0.0,-6.0
2018-2019,17,CD Lugo,16.0,-2.0,-4.0
2018-2019,17,CD Tenerife,16.0,-2.0,-7.0
2018-2019,17,Elche CF,16.0,-3.0,-8.0
2018-2019,17,Extremadura,16.0,0.0,-3.0
2018-2019,17,Real Zaragoza,15.0,-2.0,-4.0
2018-2019,17,Reus Deportiu,13.0,-4.0,-14.0
2018-2019,17,Córdoba CF,12.0,-2.0,-15.0
2018-2019,17,Gimnàstic,10.0,-4.0,-19.0
2018-2019,16,Alcorcón,33.0,3.0,13.0
2018-2019,16,Granada CF,28.0,1.0,11.0
2018-2019,16,Dep. La Coruña,30.0,3.0,16.0
2018-2019,16,Albacete,27.0,4.0,9.0
2018-2019,16,Málaga CF,29.0,0.0,8.0
2018-2019,16,RCD Mallorca,24.0,2.0,6.0
2018-2019,16,Cádiz CF,23.0,5.0,8.0
2018-2019,16,CA Osasuna,22.0,2.0,2.0
2018-2019,16,UD Las Palmas,22.0,-1.0,4.0
2018-2019,16,Real Oviedo,22.0,0.0,-2.0
2018-2019,16,Sporting Gijón,18.0,-1.0,1.0
2018-2019,16,UD Almería,19.0,-1.0,1.0
2018-2019,16,R. Majadahonda,19.0,0.0,-6.0
2018-2019,16,CD Numancia,17.0,-2.0,-5.0
2018-2019,16,Elche CF,15.0,-2.0,-8.0
2018-2019,16,Extremadura,15.0,-1.0,-3.0
2018-2019,16,CD Tenerife,16.0,0.0,-6.0
2018-2019,16,CD Lugo,16.0,-2.0,-3.0
2018-2019,16,Real Zaragoza,15.0,-2.0,-3.0
2018-2019,16,Reus Deportiu,13.0,-4.0,-12.0
2018-2019,16,Córdoba CF,11.0,-2.0,-15.0
2018-2019,16,Gimnàstic,10.0,-2.0,-16.0
2018-2019,15,Alcorcón,30.0,3.0,11.0
2018-2019,15,Dep. La Coruña,27.0,2.0,14.0
2018-2019,15,Málaga CF,29.0,0.0,9.0
2018-2019,15,Granada CF,28.0,1.0,12.0
2018-2019,15,Albacete,24.0,3.0,8.0
2018-2019,15,RCD Mallorca,21.0,1.0,5.0
2018-2019,15,Cádiz CF,20.0,4.0,5.0
2018-2019,15,Real Oviedo,19.0,0.0,-5.0
2018-2019,15,CA Osasuna,22.0,2.0,4.0
2018-2019,15,UD Las Palmas,22.0,1.0,7.0
2018-2019,15,UD Almería,18.0,-1.0,1.0
2018-2019,15,R. Majadahonda,19.0,0.0,-5.0
2018-2019,15,Sporting Gijón,15.0,-2.0,0.0
2018-2019,15,CD Numancia,17.0,-2.0,-4.0
2018-2019,15,CD Lugo,13.0,-2.0,-4.0
2018-2019,15,CD Tenerife,13.0,-1.0,-7.0
2018-2019,15,Extremadura,12.0,-2.0,-4.0
2018-2019,15,Elche CF,15.0,0.0,-7.0
2018-2019,15,Real Zaragoza,15.0,-1.0,-1.0
2018-2019,15,Reus Deportiu,13.0,-2.0,-9.0
2018-2019,15,Córdoba CF,11.0,-1.0,-14.0
2018-2019,15,Gimnàstic,9.0,-3.0,-16.0
2018-2019,14,Alcorcón,27.0,3.0,10.0
2018-2019,14,Málaga CF,26.0,0.0,7.0
2018-2019,14,Granada CF,27.0,2.0,12.0
2018-2019,14,Dep. La Coruña,26.0,3.0,14.0
2018-2019,14,Albacete,21.0,1.0,7.0
2018-2019,14,UD Las Palmas,21.0,0.0,7.0
2018-2019,14,CA Osasuna,19.0,2.0,2.0
2018-2019,14,RCD Mallorca,20.0,0.0,5.0
2018-2019,14,Cádiz CF,17.0,2.0,3.0
2018-2019,14,Real Oviedo,16.0,-2.0,-6.0
2018-2019,14,R. Majadahonda,16.0,0.0,-6.0
